review,sentiment
"I had the TV on for a white noise companion and heard\ $400 for a fully furnished apartment\"" So I ran into the TV room expecting another 70's flick and got much more. Luckily, I could rewind to the beginning (DVR buffer) and hit the record button to watch it entirely.(Cinemax uncut and in HD no less!) Aside from some holes in the story and intermittent improbable dialog/events, this is an effective thriller worthy of your time to watch. Pretty creepy and progressive at times: Beverly D'Angelo's character masturbates in front of Alison Parker, played adroitly by Cristina Raines, Parker stabs, in very gory fashion, her father, an explicit menage a trios scene.( don't let the kids watch) The film is TOTALLY 70's full of bad clothes(polyester suits and tacky ascots) and decor, bad hair,over bloated music score, and familiar looking cinematography. The cast is excellent, take a second on this film's home page to check it out.It was a surprise to see Christopher Walken, Jerry Orbach and Jeff Goldblum so young. Sylvia Miles- always wonderfully creepy! ENJOY!""",1
"There is something about Pet Sematary that I never felt anywhere else. Maybe the fact I was a kid when I first watched it made this experience so memorable. But as I keep watching it over and over again, it never gets old, and I never get bored. From the opening credits with that creepy opening song to the very chaotic ending, there is something insane, sad and scary at the same time, and it keeps ringing in your head: sometimes dead is better! &lt;br /&gt;&lt;br /&gt;I don't think it would be useful to relate the whole story again. All you need to know is it starts from point A (the most perfect situation for a happy American family) and step by step drowns to point B (which is, believe me, the very end of all joy). The music is perfect, the story makes sense, the special effects are cool, and the Pet Sematary is the last place on earth I would be. Like I said, sometimes dead is better!",1
"Summer Holiday is the forgotten musical version of Eugene O'Neill's Ah Wilderness and deservedly so with the Broadway musical adaptation of Take Me Along. With the exception of the Stanley Steamer song, none of the other Harry Warren-Ralph Blane songs are worth remembering and even that one is questionable. &lt;br /&gt;&lt;br /&gt;It was right after the release of this film that MGM let Mickey Rooney go and I don't think it was a coincidence. The film was made in 1946 and released in 1948, so Mickey was 26 playing an Andy Hardy like teenager. He was just way too old for the part of the 17 year old who was affecting radical ideas in a spirit of youthful rebellion.&lt;br /&gt;&lt;br /&gt;Rooney made four films for MGM from 1946 to 1948, this one, Killer McCoy a remake of Robert Taylor's A Crowd Roars, Love Laughs at Andy Hardy and Words and Music. In all of them Rooney was playing an adult part. Even in the Andy Hardy film, Mickey played an adult Andy Hardy returned from World War II. Why he was in this Louis B. Mayer only knows. &lt;br /&gt;&lt;br /&gt;Rooney's bad casting makes Summer Holiday all the worse because in the original Ah Wilderness the emphasis is on the father's character played here by Walter Huston. And in the Broadway show Take Me Along which won a Tony Award for Jackie Gleason, the Great One played the inebriated brother-in-law Uncle Sid here played by Frank Morgan and that's the central character.&lt;br /&gt;&lt;br /&gt;Gloria DeHaven steps in for Judy Garland as Rooney's sweet and adorable girl friend and Marilyn Maxwell plays the show girl who gives Rooney an adult education. In the original play O'Neill has her as a prostitute, but this was the Hollywood of the Code so all Marilyn does is get young Rooney soused.&lt;br /&gt;&lt;br /&gt;A lot of really talented people had a hand in this one and they do their best, but Summer Holiday fades rather quickly into a chilly autumn.",0
"As a Native film professor, I can honestly say that this is perhaps one of the worst films with Native content that I have ever viewed. I would rather get a root canal than view this film again. The use of stereotyping, uncreative attempts at utilizing portions of traditional coyote stories and poor camera work were only made worse by the glib uncreative story-line and bad script. The writer and director have displayed the worst parts of a colonized approach to portraying Native people and communities. If this person is Native, they need to go home and apologize to everyone they know for being an apple and for the internalized racism and poor sense of humor that they have developed. If this person is non-native, they need to seriously re-examine their white privilege and ask themselves if they are displaying unexamined, unintentional racism, or if they are intentionally being ignorant. My only hope is that the Native actors in this film had a good time and at least got paid for their efforts. If you want to see good Native films then check out: Christmas in the Clouds, Dance me Outside, Medicine River, PowWow Highway, Smoke Signals...to name just a few.",0
"while watching this piece of crap! The Day after, I saw a 1min Trailer - that one minute included all, ALL what was at least not boring to watch...&lt;br /&gt;&lt;br /&gt;so don't waste money or time on this one, get the original, it's much better though the effects might not be up to date...",0
"Maya is a woman without any interests. She just dreams her life away and wonders, why she does not feel fulfilled. This could be an interesting topic. That would need a good story, a nice setting and good dialogues. It doesn't have any of these. This movie is totally boring. There are only lengths and no climaxes.The only climax is Shahrukh Khan. But although I am a huge fan of his, I couldn't stand this movie. Even he can't make this movie exiting. The movie is not as bad as \King Uncle\"" and if you're an Art-house fan or like it slow, you might maybe like it. It's not funny, it's not interesting, it's not catching. My recommendation: Don't watch it.""",0
"wow! i watched the trailer for this one and though 'nah, this one is not for me'. i watched my husband and our friend's faces during the trailer, and knew this was a 'boy movie'. i mean, hallo! a bunch of chick barmaids that dance - another striptease?&lt;br /&gt;&lt;br /&gt;then, i started watching it, it didn't look all that bad. so i carried on watching. i watched it right to the end. what an awesome movie. if anything, this is a chick-flick. these girls have attitude. it is really a feel-good movie, and a bit of a love story. really leaves you with a nice feeling.&lt;br /&gt;&lt;br /&gt;basically, the story of a small-town girl making it big in the city, after going through the usual big-city c**p. there have been a couple of these, it is almost a new urban legend. but it also makes you think of your life, and what you have achieved. well, me anyway. i think it is because the whole working in a bar scenario is very familiar, not just for me, but for many people i know. Don't trust the trailers for this one - it is aimed at bringing the men in.",0
"Well I guess it supposedly not a classic because there are only a few easily recognizable faces, but I personally think it is... It's a very beautiful sweet movie, Henry Winkler did a GREAT job with his character and it really impressed me.",1
"After a big tip of the hat to Spinal Tap, this movie is hilarious. Anyone who grew up watching MTV will love it and if you didn't, rent it anyway,the \My Peanuts\"" and \""A Gangster's life\"" videos are worth the three bucks alone.""",1
"this is without a doubt the worst most idiotic horrible piece o' crap i have ever watched.&lt;br /&gt;&lt;br /&gt;this movies plot is that some guy goes crazy and dresses up as santa claus and kills people BECAUSE he saw his mother give his father oral sex while he was dressed as santa clause. THAT IS WHY HE WENT INSANE? is it just me or is that the worst damn reason for someone to go insane like EVER? and that's not the only thing. i'm being serious when I say NOTHING HAPPENS IN THIS DAMN MOVIE. nothing until like 1 hour and 15 minutes of it have gone by.&lt;br /&gt;&lt;br /&gt;there's an entire friggin scene where he glues a friggin santa beard on to him. IT'S A FRIGGIN MINUTE LONG. WHO THE HELL WANTS TO SEE THAT? however i must say the ending of this movie made me crap myself laughing at it. so if you see this movie on TV or something come back in like 1 hour and 20 minutes just to watch without a doubt the worst ending in all of cinematic history. and i'm serious about that.&lt;br /&gt;&lt;br /&gt;it's not even so good its bad, it's tedious, it's idiotic, it made me want to break the vcr. it's just not worth your time also i'm sure every other review mentioned this but The actress who played the mother on Home Improvement was in this movie for a split second. YOU WANT TO KNOW HOW BAD THIS MOVIE IS? I'D RATHER WATCH HOME IMPROVEMENT FOR SIXTY SIX HOURS THEN EVEN LOOK AT THIS MOVIES COVER EVER AGAIN.",0
This movie was bad to say the least!!! The plethora of superb cars are disgraced to have have been showcased in this LAME movie. It starts off with a race from L.A. to Las Vegas to be completed in 1HR 45min...in a Ferrari F430. I did that in 1HR 50min in a tiny 4cylinder 140HP 1993 Honda Accord. Seriously...this movie does not do justice to these cars. Obviously these writers are just that and probably drive under the speed limit with their hands @ 10 &amp; 2 o'clock. I remember seeing on the news how Eddie Griffin crashed a 1.5 million dollar Ferrari Enzo going 30-40MPH&gt;&gt;&gt; youtube.com/watch?v=cNVrMZX2kms &lt;br /&gt;&lt;br /&gt;And...the director ANDY CHENG is THE biggest SELLOUT!!! He brings shame to his own race. I wonder just how many people he orally pleased just to break into Hollywood. He partook in a movie that portrays Asian Americans in such a negative and FALSE way. Asian women&gt;&gt;cheap money grubbing whores. Asian men&gt;&gt;losing compulsive gamblers &amp; thugs that get beat all the time . What the heck is all the fear about asians?? Why the need to always portray them in such a negative connotation?? I am SO sick of the way Hollywood ALWAYS portrays asians in SUCH a negative and false pretext.,0
"I missed the first 10 or so minutes of the movie but don't think watching it from the beginning would've made any difference. I found the film extremely boring and was disappointed with the acting. I remember Patrick Swayze and some of the other actors (Roy Marsden, for instance) in outstanding roles but they all disappointed here due to a very weak script. \Kind Solomon's Mines\""...the very short part of the movie inside the \""mines\"" was about as exciting as watching paint dry and I doubt that even a pre-school kid would've been spell-bound by watching the fight of the \""warriors\"". The entire movie was reminiscent of a cheaply produced American TV series. Give me Indiana Jones any day!""",0
"A bunch of popular high school students play a cruel joke on nerdy Marty (a sympathetic performance by Simon Scuddamore) which leaves him hideously disfigured. Five years later the gang returns to the now crumbling and abandoned high school for a reunion. Of course, an angry and vindictive Marty shows up dressed in a jester's costume to exact a grisly revenge on his tormentors. Writers/directors Mark Ezra, Peter Litten and George Dugdale trot out all the endearingly corny clichés which make these 80's slice'n'dice body count flicks so much cheesy fun: fake jump scares, prowling Steadican shots, a fierce storm, an insanely groovy hard rock soundtrack, a nice smattering of gratuitous female nudity, a totally ridiculous \what the hell?\"" supernatural climax, tacky make-up f/x, and one of those lovably lame \""it was all just a terrible dream\"" fake-out non-endings. Moreover, the elaborate murder set pieces deliver the gruesome goods: Gory highlights include a man's stomach exploding after he drinks poisoned beer, a lady taking an acid bath, a guy being crushed under a huge tractor, and two people getting electrocuted while in the middle of having wild passionate sex. Thirtyish British cult horror siren Caroline Munro is hilariously miscast as an American teenager in the first third of the flick. The cast all give solid performances, with especially stand-out work from Carmine Iannaccone as smartaleck ringleader Skip Pollack, Billy Hartman as faded macho meathead Frank, and Donna Yeager as foul-mouthed slut Stella. Co-producer Dick Randall has an amusing cameo as Munro's sleazy agent Manny. Harry Manfredini's moody, rattling music shamelessly recycles cues from his \""Friday the 13th\"" scores. Alan Pudney's slick cinematography does the trick. Good, trashy fun.""",1
"&lt;br /&gt;&lt;br /&gt;I didn't see They Call Me Trinity, but this sequel is really unfunny at all. It has many gags that are supposed to make people laugh. I guess the filmmaker just don't have the talent to do it right. Wonder why it was so popular in the 70s.",0
"I saw \Shiner\"" on DVD. While I was watching it, I thought, \""This is a really bad porn flick without the porn.\"" I also thought, \""Whoever wrote this has some real issues.\"" Then I watched the director/writer Carlson explain his process as a special feature. Yeah, it was real special.&lt;br /&gt;&lt;br /&gt;The emphasis of the film is placed on two alcoholic losers who hit each other to get off. They are marginally attractive. There is frontal and full nudity. These factors probably account for the film being seen at all.&lt;br /&gt;&lt;br /&gt;The most upsetting element of the film is the gay bashing and the subsequent further gay bashing of the same victim who tries ineptly to exact revenge from his assailants, the two drunken losers. Not only is the subject handled absurdly and badly from a technical point of view, but the acting is horrendously bad.&lt;br /&gt;&lt;br /&gt;Then there's the boxer-stalker theme. This is really insane, not just absurd. This hunky boxer is somehow traumatized by the persistent attentions of a fleshy momma's boy who works at his gym's parking lot. This is in LA, mind you. The boxer is so traumatized that he turns up at the stalker's house, strips in front of him and gets excited in the process.&lt;br /&gt;&lt;br /&gt;Well, all I can say is, why would a boxer who is at heart an exhibitionist be so traumatized by the attention of a stalker? It simply makes no sense. And, I'm afraid, some psycho-dynamics actually do make sense, if you take the time to read about them. However, bad scripts seldom make sense at all.&lt;br /&gt;&lt;br /&gt;The director/writer seems to have thought that this film represents a considerable minority within the gay community. Well, he may be correct, I suppose. We may never know, since that minority would be so dysfunctional they would hardly be able to get organized enough to ever get to an obscure gay film festival or DVD store, the only two places they could possibly find this turkey. Thank goodness for that.""",0
"If this is based on the true-life relationship, as purported, between Ms. Curtin and Mr. Levinson, I'm thrilled I do not know them personally. This is painfully slow, and both characters take stupid pills liberally throughout the movie while the theme song gets played into the ground. Many stupid scenes with people acting stupid does not make for a comedy.",0
"Wonderful cast wasted on worthless script. Ten or so adults reunite at the summer camp they attended as juveniles. Could this ever happen in a million years? It's simply a fantasy, and a boring one at that. Do they become teenagers again? Do they reenact their pranks, games, good times? They may try but ultimately the answer is: No. Is there any intrigue? Any suspense? Horror? Comedy? None of the above. How anyone can be entertained by this drivel is beyond me. I wanted to like this movie; I tried to like this movie, but my brain refused.",0
"Yesterday, I went alone to the cinema, because here in Mexico, most of the times movies from other countries are part of the so called \camára alternativa\"" (alternative camera). But after I saw this movie, I realized that not all the foreign movies are alternative. Afortunately, this is a good a example. But I have to said that I enjoyed so much this movie.. that at the end I was happy.. this movie is a little spoon of hope in these days. And the main lesson for me.. is that at the end of the day...the love is main force behind us. This is a good option to see a good movie in Spanish...and I have to mention the good music.. specially the main song of the movie.. Cosas que hacen que la vida valga la pena.... Excellent song!!!""",1
"I got to see the movie \ On Thin Ice\"" on the television in India.. I must say the movie was really well done, and really sent a chill down my spine.. the basic story makes me ponder what makes certain addicts decide to move on where as others still remain addicted...&lt;br /&gt;&lt;br /&gt;however, I felt that Diane Keaton was at her best... the scene where she has cravings, and begins rummaging her home for cocaine... was the best... the two boys are good, and Lynda Boyd also showed what a good actress she is....The script is well done as is the cinematography and direction.. and casting&lt;br /&gt;&lt;br /&gt;A must must watch movie..... for everyone""",1
"SPOILERS Sex huh? It's one of the most basic parts of human life. Yet, do we ever take it too seriously? People always want more, even those who get it on a daily basis, and if you are unlucky, there are potential life changing (creating) consequences. Ironically people claim we are all starting to have sex at a younger and younger age (despite Victorians getting married and having children in their early teens), so it must be increasingly difficult for those who get to a point as virgins. In Steve Carell's first big screen lead, he plays a man who has gotten to 40 without managing it. Treating us to countless lude and extreme sex related incidents, not to mention more profanity than an episode of \Eurotrash\"", the general plot of the film and it's principle doesn't sound funny. It's a pleasant surprise therefore that for all the inappropriate, failed jokes, there are an incredibly large number of ones which hit the mark and leave the audience in hysterics.&lt;br /&gt;&lt;br /&gt;Andy Stitzer (Carell) is a nice guy with a good job and a pleasant temperament. At the same time though, he blatantly takes life too seriously and after being invited to a poker game as a necessary fifth member, Andy's friends discover his secret. At the age of 40, Andy is still a virgin. Now, for multiple reasons, but mostly pity, the three men (Paul Rudd, Seth Rogen and Romany Malco) all offer Andy advice with one goal in mind. To put him out of his misery and get him laid.&lt;br /&gt;&lt;br /&gt;One of the few good things about \""Anchorman\"", it was only going to be a matter of time before Steve Carell got himself a lead of his own. Impressively, in \""The 40 Year Old Virgin\"" he doesn't disappoint. Showing the hopeless, shy virgin to perfection, Carell is a revelation as he gradually grows increasingly confident as the advice begins to help.&lt;br /&gt;&lt;br /&gt;Carell is not alone however in his performance. Rudd, Rogen, Malco and Catherine Keener as the love interest are all superb. Rudd is a personal favourite as the love sick David who falls apart at multiple times and shares the finest scene with Rogen as the two argue over homosexuality.&lt;br /&gt;&lt;br /&gt;The biggest surprise about this film is not the way that so many of the jokes hit the mark, but actually the clever way that it flips the message on it's head. Obviously designed for conservative America, the film's entire tone evolves from a simple story of sexual conquest into one of safe sex and abstinence. The virgin doesn't need sex to make his life complete, he just needs confidence and true love. A worthy message to preach, and a considerable improvement on the one you expect to see at the beginning of the film.&lt;br /&gt;&lt;br /&gt;It's weird to see a crude comedy which is consistently funny and well acted, but low and behold, \""40 Year Old Virgin\"" is just that. Throw in a well meaning message too and you're well on the way to a top class comedy. A surprising joy.""",1
